ChildrenSymptoms,Abdominalpain
ChildrenSymptoms,Constipation
ChildrenSymptoms,Cough
ChildrenSymptoms,Decreasedhearing
ChildrenSymptoms,Diarrhea
ChildrenSymptoms,Earache
ChildrenSymptoms,Eyediscomfortandredness
ChildrenSymptoms,Fever
ChildrenSymptoms,Headaches
ChildrenSymptoms,Jointpainormusclepain
ChildrenSymptoms,Nasalcongestion
ChildrenSymptoms,Nauseaorvomiting
ChildrenSymptoms,Skinrashes
ChildrenSymptoms,Sorethroat
ChildrenSymptoms,Urinaryproblems
ChildrenSymptoms,Visionproblems
ChildrenSymptoms,Wheezing
